,Sentences,Negativity
91,i feel less and less burdened or bothered by both the past and my present day to day challenges,1
92,i did in april and how i couldn t feel my feet until the run because the water was so cold,1
93,im only barely starting to feel uncomfortable,1
94,i can feel comfortable shooting in daisy dukes and a bikini top,0
95,i feel like i havent had a moment to breathe so a little beach time amp relaxation is welcomed,0
96,i am feeling helpless because he is who the referee in game,1
97,i had not been in a convertible in many many years and the feeling of the wind in my hair was so wonderful,0
98,i feel like a whiner because my pain is really not that bad compared to what many people live with and i still have some hope of recovery while many do not,1
99,i feel like it is chipping away at my heart bit by bit with an extremely dull and cold chisel,1
100,i get the same feeling gp amp fab but then i always do,0
101,i feel stupid that i felt that way about you but i feel even stupider is that even a word,1
102,i cant stop talking even though im already feel weird uncomfortable feeling swarming me but still my mouth keeps saying unnecessary word,1
103,i stood before my newly rebuilt bike looking across the field i had to ride feeling very apprehensive,1
104,i feel every word of mine is so valuable that i must get paid for it there s plenty of journal maunderings and half finished stories or essays and always will be,0
105,i was feeling a little remorseful that even jonathan franzen would hop the in my day bandwagon,1
106,i feel extremely irritable today and i am craving weird foods like green chile which is non existent here in fort collins in its purest form,1
107,im not feeling so enamoured with them now as they start their warbling at daybreak and it really is not the most pleasant of birdsongs,0
108,i watch the film i feel sympathetic for all the characters,0
109,i feel better and worse,0
110,i knew that ive been nominated by angel i feel so honored,0
111,i feel awfully isolated as if i have no one to talk about these things to,1
112,i like super committed like to the point where i feel like i could honestly see myself marrying the person and am not a fan of casual sex or sex without love or any of that does your mate need to be taller than you,0
113,i am feeling alarmed now so i need to stop and bring my breathing back to a calm zen like serenity,1
114,i feel triumphant for some reason,0
115,i don t feel and look like one maybe because i m still single and not very much fond of alcohol and cigarettes,0
116,i really love reading bible because i can feel the presence of the lord jesus and i feel every single word it says and also amazed on how this and that happened how jesus sacrifice just to save us from our sin and also looking back then on how he created everything in this world,0
117,ive been feeling hopeless and helpless,1
118,i feel like ive pressured her into this so i tell her no,1
119,i feel so useless and dont know how to trust people anymore,1
120,i would have just told him how i was feeling maybe the issue could have been resolved and i wouldn t have been so physically uncomfortable,0
121,i just feel a bit reluctant to accept the fact that i have to eat ksb very cautiously from now on,1
122,i feel so many artistic motivations that is hard to keep them to myself,0
123,i am a very different person now much more confident and i feel proud,0
124,it was the time i went home for my holidays only to find that my sister had passed away the news had been hidden from me,1
125,im kind of feeling hopeless about the job situation,1
126,i need to change in me is to be even more willing to put myself out there to share and to ask others for help without feelings of guilt or remorse or doubt and without treating those who offer help as slightly suspicious,1
127,i feel a bit pathetic but i am lost at the moment,1
128,i gave my all later to regret it and feel the affects but for someone suffering on more of a downward spiral i can only begin to imagine how they may not have passed the test,1
129,i feel pretty pathetic that i have been in therapy for almost three decades and i m still crazy,1
130,i feel very optimistic about this coming season,0
131,i feel valued when im with him,0
132,ive been feeling so cranky and why so many others around me are so cranky,1
133,im emotionally drained my head is lowered although my body is not in the corner rocking back and forth thats how i feel what do you do when someone is too stubborn to love you,1
134,i feel really skeptical and scared about this exam not sure if luck will be on my side this time,1
135,i am so glad and thankful to feel worm attention of the people and to hear the people say it was delicious,0
136,i feel someone or something poses a threat to her and that i dont get angry with her,1
137,i always had the feeling that this dream of mine even if popular was not at all useless,0
138,i was feeling a bit sceptical,1
139,i feel very inspired by my friend and fellow blogger maya s recent sensational photo shoot get in yummy mummy,0
140,i hate feeling nothing for the date and defeated in some part of my life,1
141,i know i m not the only one there is a reason why jersey shore and honey boo boo got shows it s so we can all look down on the freaks and feel superior,0
142,i took mg wasn t thinking that i took already not mg so i messed up a little here since i am trying to stay at mg or less and now i am feeling really relaxed from a long day,0
143,i feel like im a useless person,1
144,i start pulling away the leaves feeling the cool thick soil jamming under my fingernails,0
145,i feel the kicks and get reassured by them wiggles is actually in trouble or worse,0
146,i try to return to it i feel like i broke up with a boyfriend and don t know how to get the relationship back on track,1
147,i do feel guilty for not being able to carry the strong attachments as i move on but could never change,1
148,i feel agitated and cant think of anything productive to do all i can really do is lay on my bed not getting a blink of sleep but think think think,1
149,ive come back to montreal ive been feeling restless,1
150,i had also wondered in the past if you and i could be more but i always thought i was feeling needy during those times or badly about myself,1
151,i do feel worthless sometime like im not good enough for anyone my friends and sometimes even my family,1
152,i would feel ungrateful not to honor it,1
153,im feeling a bit amazed and grateful about having landed amid such a congregation,0
154,i feel like i should mention there was another sweet family with us,0
155,i feel for the abused,1
156,im feeling a bit melancholy,1
157,i just sat there feeling this weird feeling and a few moments later the leader called out to wind it down so we could switch roles,0
158,i replied feeling a little agitated at that remark,1
159,i credit i didn t feel agitated about all that stuff on my face and in my hair until a good two hours later which is longer than you re supposed to keep it up anyway i think,1
160,i want to let you know even if you are feeling lousy and defeated right now life will turn out exactly how you imagined and wanted it to,1
161,i feel generous and i follow but mostly i endure it because i like the person and am willing to wait it out until they reach this somewhat artificial goal,0
162,i ended up feeling pretty terrific about myself yesterday,0
163,i suppose i should feel stubborn about not letting summer go but im really pretty indifferent towards the whole school thing,1
164,i feel the suffering of people a thousand years ago for goodness sake,1
165,i would not have told him or even joined the company had i not had a feeling he would be supportive,0
166,i feel like we have been so blessed already we may just be pushing our luck to try ivf again,0
167,i think the book blogger slump hits whenever this blog starts to feel like work instead of a beloved pastime,0
168,i immediately felt lucky then scared then ached to take away some of the pain these families are suffering i feel hopeless to do anything,1
169,i feel like it s back to boring,1
170,i knew those feelings to the core but thankfully my daughter came out just fine,0
171,i do eat around him and it turns out i need to purge ever so bad i feel horrible like i have to ask for permission i have to let him know what im about to do,1
172,ive been feeling loggy and irritable for a couple weeks now which i am content to largely ascribe to the whole just moved and building a comfort zone part of my brain,1
173,i feel appreciative to eisner camp for many reasons this circumstance is just one more to add to a very long list,0
174,i feel happy about the outcome of this long election and im glad its over,0
175,i know the signs elevated resting heart rate mood swings pain in the muscles and joints especially in the upper thigh muscles sudden loss of strength no desire for weights lifting decreased sleep times lose of muscle mass feeling irritable,1
176,i knew that feeling and i felt disgusted at myself for feeling it,1
177,i wish that more women could feel comfortable to talk about what their day was really like and not just highlight the perfect parts,0
178,i feel honoured to have this opportunity to work with different types of people and to experience their skills and have their encouragement,0
179,i got up this morning feeling energetic,0
180,i feel paranoid a href http cyncake,1
181,i am feeling happy and positive again my bowel on the other hand has again become a grumbling mess and the back and hip pain is slowly creeping back into my life,0
182,i also noticed that i can actually feel more trusting of myself and i believe that my spirit feels the same way that it can trust me and i can better trust it,0
183,i love travel and out of that developed a love of photography however i began to feel that the type of travel photography i was doing even though it was commercially successful was very unsatisfying and clearly not expressing any of my personality or thoughts on the world,0
184,i feel i have the responsibility to behave in a calm mature manner but that doesnt always happen,0
185,i walked out of there probably feeling less fearful happier and content than any other time,1
186,ive been feeling so weird,0
187,i feel very pissed annoyed and depressed at the same time about a whole lot of stuff,1
188,i feel that i have an emotional connection to my work i can t let what others have to say about my work affect me emotionally and mentally,1
189,i feel like i have been eager to get my undergrad finished for the last three years,0
190,i feel like maybe i should branch out some but i m not fond of warm colors like reds and oranges so that limits things a bit,0
191,i like to spend my days off going to the us and visiting tractor supply or price chopper for wonderfully american food or if im feeling especially adventurous i go to burlington or other towns in vermont for a lookaround and a little shopping,0
192,i use the art to interpret life and he connection we all have finding that i can describe how i feel better with a drawing than with words,0
193,i feel kinda dumb but what is radicalism,1
194,im feeling whiney because i cant seem to get things this year many for other people and a few for myself,1
195,i know i shouldn t be upset shouldn t feel this melancholy that is eating away at my insides leaving tears in my eyes and an ache in my heart,1
196,i was talking a lot to david i started feeling that way and i hated it,1
197,i didn t know whether it was just pre race apprehension or if i was feeling a bit jaded after such a busy season but i had really struggled to summon up some enthusiasm for this race,1
198,i to see bracken feeling miserable this is definitely the most miserable hes ever been and were really grateful he hasnt been sick very often,1
199,i was exhausted and sad and feeling worthless before i was even years old and this was just the beginning,1
200,i m writing about myself now but when i look at them here i feel wonderfully privileged to have known so many like and unlike myself in such extreme situations,0
201,i didn t feel like much was resolved and was a little disappointed by this,0
202,i feel very privileged to have shared this event with everyone and highly recommend it to potterheads fans of things or just people who love reading,0
203,i couldnt feel any divine being in my own pulse,0
204,im becoming cynical in my old age my birthdays in two days and im feeling aggravated by circumstances,1
205,i worked on a lot of techniques this past saturday and i feel confident in my ability to capture my first world championship,0
206,i close my eyes but i can t help feel a re sidual melancholy either from the music or his demeanor,1
207,i remembered it feels terrible i couldnt continue it was easy at all totally,1
208,im feeling stressed about this more than i should,1
209,i feel is an important part of the grieving and healing process,0
210,i feel safe enough to nap,0
211,i feel heartless as i pass them by knowing that giving them money will only invite more trouble,1
212,i feel more peaceful already,0
213,i would like to feel that loving presence too the kind everyone else feels,0
214,i am feeling stressed out i grab a book workout or take a walk and i feel better than ever but sometimes we need a little bit of a boost to get us going so today im going to talk to you about a product that i received from swaggable,1
215,i definitely feel invigorated,0
216,i made you feel i shudve been more considerate,0
217,i feel as though putting these cartoon characters we grew up with as innocent children in a not so innocent situation reflects so the changes we go through from children to adults,0
218,i think i just remembered why i ve never bothered to watch election coverage i m left hoping my guy won but feeling completely helpless while all of these overly made up buffoons pretend to know what they re talking about,1
219,i had been feeling a little drained spiritually and i was praying for god to refresh and revive my spirit and enable me to spend more time with him,1
220,i should force my hand to find a resolution for it all i cant help but feel it would be in vain with bc coming and everyone so busy doing their own little thing,1
221,i repeated feeling a little stupid,1
222,i might have to take a trip out there in the off season when i m feeling homesick,1
223,i did not feel sadness i did not feel frightened i was incredibly happy,1
224,im off the medication and still not feeling much more energetic and worse i can feel my emotional range flattening,0
225,im feeling pretty relieved about how things went on november especially since the democrats held onto the senate,0
226,i space on we can t blame it in order to read that our actions that you see there are not bad to share each and we can t blame it on you have been hiding things might try to read that at several things he or has already cheated on you see we feel needy now this takes place,1
227,i feel a little neglectful of my blog among other things,1
228,i have a feeling that my thoughts on this are not going to be popular and that s ok with me,0
229,i feel the need to spend money on clothes again i will invest in a very precious designer basic or another leather jacket and swap it against a similar item thats already there so the number of black basics on my rack stays the same,0
230,i now feel fairly content to give the summer up because theres so many new things to celebrate and prepare for,0
231,i just panicked until peony told me to go and get the doc he looked at me and i knew that he was feeling completely useless,1
232,i know you still feel surprised about this thinking what could you have done to deserve it,0
233,i hate feeling rushed its the one thing that totally throws me off and causes me to make mistakes,1
234,i really hate that feeling of getting ignored by someone u love,1
235,i guess our feeling is that thats not acceptable,0
236,i kind of feel heartless,1
237,i was a wee bonny lass ive always wanted to go to something like a nightclub or a party or a concert where im surrounded by hundreds of people and i feel the divine spark i feel this connection of joy with them all because briefly we are all happy,0
238,i feel distracted during those times,1
239,i don t have to live like that anymore but i m also grateful for the memory because that memory is pretty much the first one that my mind flicks to when i m feeling aggravated at mankind as a whole and afraid of everything including my shadow,1
240,i take comfort being paralyzed now for years and living in this weird state of abnormal separation from all things normal in knowing that i am always connected to god that these feelings of loneliness will pass and in once sense that aloneness loneliness can be good for us,0
241,i do feel a little strange every time i say the phrase in real life in,1
242,i cant answer you about how my feelings i cant talk now as id lost all my wisdom i cant tell the truth because i have none so far,1
243,i was apparently feeling rather sociable i became acquainted with cheriee not to be confused with cherie jersey trip which i accidentally kept calling her actually because theyre spelled so much alike but of course are pronounced differently,0
244,i feel a bit of furious that time,1
245,im back to feeling deprived or im not sure yet what it is,1
246,i had been feeling pretty pissed about this for the past few days pss i am gonna proof you wrong,1
247,i have an awesome brain that shuts down and put me in sleep mode when reality is hard when i feel troubled,1
248,i havent had a bf for about a year now and just scared because i feel like no one really wants to be with me and am not pretty or intelligent enough for them,0
249,i limped along feeling helpless as my knowledge and memory faded and soon i was forced to stop working in public accounting,1
250,i feel disgusted when people judge others for the way they are dressed pray eat anything different than their lifestyle and they cast others evil and sinners,1
251,i look at them i feel proud knowing that i made them myself,0
252,i was feeling somewhat excited about the graduation ceremony which will start at pm,0
253,i feel positive about what i am doing,0
254,i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,1
255,i feel very sorry for them because they are really missing out,1
256,i was feeling grumpy this morning both work and personal life were making me grumpy,1
257,ive rethought my feeling about this and have decided that i rather liked it when expensive items were thought of as inaccessible,0
258,i feel like i should live up to my image and try to change what i perceive to be in my nature my nervous personality,1
259,ill feel so pathetic,1
260,i feel soo ungrateful but everyone else has such nice places to live and stuff left behind by past gappers to help them out,1
261,i feel incredibly fantastic,0
262,i know i should not feel ugly as i am a creation of god and not alone for i have jesus forever by me but nature looks me in the face everyday and shows me the brutality of earth,1
263,im still loving that im eating delicious food and not feeling deprived and even getting in a piece of pizza some beers and a few chicken wings,1
264,i feel that what i find i should share and unfortunately it is not pleasant,0
265,i just feel mostly pathetic right now,1
266,i did feel like i got through enough to confidently say which ones i liked in comparison to others,0
267,i feel shocked to realize that whatever were talking about were both seeing understanding in the same way,0
268,i have created and shared on this blog feel free to share it with others but please give credit and a link back to me and do not take credit for something that is not your creation,0
269,i remembered years ago wondering how i would feel if revival broke out in rochester span style background yellow font size,1
270,i feel very disillusioned and frustrated with british administration for anguilla,1
271,i dont sense that i am feeling enraged until i throw something but i am getting better at recognizing the signs,1
272,i feel a little disturbed seeing distressed members of society being pimped out in such a blatant no holds barred media way as to create a special pipeline and a need for more ajc print products and to increase ipad app downloads,1
273,ive spent way too much time feeling pain to the point that im frightened to leave myself open to it,1
274,im feeling so groggy still,1
275,i am feeling stressed that i will go blank and not be able to perform the day we do our exams,1
276,i feel so pathetic every time when we quarrel ad weve to ignore each other i feel like really i lose a part of me but why,1
277,im feeling like the next couple days are going to be entirely devoted to scarlett since i didnt get to spend much time with her this weekend,0
278,i feel joyful about avoiding,0
279,i mean i feel like its such a tragic loss i cant even begin to imagine how the band and his family must feel and what theyre going through right now,1
280,i spent years walking around the gym feeling absolutely terrified feeling judged feeling small feeling stupid,1
281,i wont feel as pressured into working faster,1
282,i don t feel ugly today,1
283,i found no satisfaction and no contentment chasing the feeling of being happy,0
284,i feel eager for things to really start happening,0
285,ive got going on that is incredibly intensive and difficult and causing me to feel very stressed about it,1
286,i have a feeling words will be angered with me and this time it asnt my fault,1
287,i feel someone s hands wrap around me and i m frightened thinking someone else is trying to hurt me,1
288,i battle back and forth feeling anxiety over not being productive yet unable to be productive,0
289,i feel lost and stressed out a little but i wil,1
290,i must say i feel a little jaded because my organisation the heart foundation cancer choice have spent quite a significant amount of time and quite a reasonable amount of money to come to this point and i think its entirely inappropriate action from the food and grocery council he said,1
291,i feel that if i ask for help that somehow makes me less intelligent than the person im asking for help from and i cant stand that feeling,0
292,i wouldn t be getting long winded about this had it just been an isolated incident and i hate feeling so cranky over the idea that the arts are thriving to the point where a saturday matinee for the city ballet is so well sold at least in the upper sections,1
293,i need to tell people about myself or im not going to feel like im decaying emotionally losing touch and become neurotic,1
294,i feel accepted there said panorma who is from indonesia,0
295,i feel a bit ashamed about it,1
296,i just feel like i want to change it again a href http sweet pleione,0
297,i can feel glamorous without makeup too especially on my lips,0
298,i feel like i deserve to feel this way like i deserve to be punished,1
299,i feel and know i am very messy in the kitchen and i really really want to work better in the kitchen so i dont mess up when i do it for reals,1
300,i was so excited and it came at the perfect time when i was feeling a little homesick,1
301,i was left feeling disheartened disillusioned and disconnected,1
302,i feel the smart money pain,0
303,i feel rushed and out of control,1
304,i have been waking up and feeling rather vile and murderous the past few days,1
305,i don t want to remind him i want him to and yet i feel i can t continue supporting him in this relationship without this extra support but i have to even do this in a sensitive but firm way to set boundaries and parameters on what is okay for me and what is needed for him,0
306,i feel angry i feel angry see me frown see me frown,1
307,i can even say my opinion on something without him feel offended,1
308,i can almost see the dark eyes of judas iscariot averted from those of our savior so as not to feel the searing and sorrowful scorn that must have accompanied his gaze as he continued the charade by asking is it i,1
309,i feel all weepy,1
310,i think it is probably good for somebody who might feel disempowered to realize that there are things they can do in their life so they dont have to feel victimized,1
311,i said to her and she said you feel shy so hard to look to buy clothes she did not dare to,1
312,i feel awful that it wasnt ready before you were born but it is coming together and it is beautiful,1
313,i knew entering the race i would not be going for any kind of time goal but its still hard not to feel embarrassed,1
314,im in no way complaining but i just cant shake this feeling that im doomed,1
315,i still feel unsure sometimes,1
316,i think of an inner ear something or other causing much lightheadedness and feeling of low energy blood pressure thankfully is ok,1
317,i sometimes feel troubled,1
318,i have had in my entire mission and it feels so good,0
319,i am going to write about the one trait that i feel separates the merely talented athlete from the great ones that is consistency,0
320,i think i am feeling more the after effects of being in bed too long than the cold,1
321,im feeling pissed off about losing a stone in weight and then not losing any more,1
322,im starting to feel more calm about whats going to happen,0
323,i belonged but there is a difference between feeling like youre accepted and you belong and feeling like youre each others people,0
324,i mean maybe i just don t get it but i feel like a restaurant chain supporting anything is similar to a chicken sandwich supporting something,0
325,i really feel very guilty,1
326,im still feeling a little annoyed about it all,1
327,i also remember what it feels like to be and in love and confused and exhilarated and nervous and happy and independent and perhaps just slightly out of control,1
328,i feel when i m reading them not unpleasant just uniquely his style,1
329,i am writing this so when addy gets the chance to be somebodys momma and she feels discouraged she will hold out and write this message to her own baby,1
330,i now feel more hopeful on how to reach my goal,0
331,i feel that hooking up is the more popular option during this time,0
332,i stopped there because the whole thing was feeling shaky,1
333,i am feeling hesitant to go for another german one right now,1
334,i feel a bit heartless for thinking about trivial stuff like make up and clothes,1
335,i feel the gentle breeze from the open windows i hear the birds playful chatter at their feeder just outside my patio door and the beautiful song of the running fountain nearby,0
336,i feel its a terrible habit,1
337,i finally do go i feel a little bit sorry for whoever is the final catalyst,1
338,i feel so unfriendly,1
339,i was feeling really sentimental and a bit sour wishing i could be back in culinary school,1
340,i get to go to mass every day and that i met the super kind people at my church but sometimes when i m feeling terrified and alone and when i want to die to end the pain of abandonment of being tossed aside like garbage after years of marriage nothing and no one helps,1
341,i have a feeling i ll be unpleasantly surprised with the results,0
342,i wish to still feel the longing to be with you,0
343,i hear about my friends going ons and the drama of their lives i feel so little and petty,1
344,i feel love the collection target blank title click here if you liked this article,1
345,i feel resistance and in this i forgive myself that i have accepted and allowed myself to not realize that i can stay awake when as i feel tired when i am resisting working on something and not give into the a href http eqafe,0
346,i feel that my life is frankly a little boring,1
347,i feel might be useful to teachers and administrators who work with refugees,0
348,i feel so cold a href http hoyhenkeijukainen,1
349,i that we routinely forgo their delicious sublime organic meals because we d rather not feel quite that unwelcome,1
350,i feel betrayed i fell dismayed yet somehow i dont feel the rage,1
351,i like the feeling that i have a talent to entertain and at my age that is quite precious,0
352,i felt a profound and dramatic shift into feeling being that divine love that i was longing for,0
353,i feel bad for her but i a href http lolhunt,1
354,i eventually realised is that the positive feeling experiences are like twice as fucked as the negative energetic experiences because the positive is birthed from the negative,1
355,im feeling weird right now dont know if it is sadness or something else,1
356,im thinking feeling or being inspired by on a daily basis,0
357,i can almost feel ezekiel s terror and awe and his frantic grasping at words while knowing he just doesn t and can t quite capture it,1
358,i believed if i didn t feel it that far i must not be mad or happy or caring etc,1
359,i feel like no guy would ever use the term disillusioned asshole but that could be just that i have only been told this by girls in the past,1
360,i feel myself getting so distracted and not willing to talk to him anymore like it just makes me sad and feel like giving up,1
361,i may not feel like im not the perfect blogger or teacher i realized i need keep my focus on the reason why i started this blog over a year ago,0
362,i made the feeling of belonging and being valued will probably last longer than the shoes and socks ever will,0
363,i hate the moment when i completely feel perfect with people around me whom i love the most suddenly disappear,0
364,i feel joyful and inspired to write lately that only happens to me for two reasons when im hurt beyond tears and when im very very happy,0
365,i saw what he could do and then when he told me everything it was like everything just clicked and i suddenly saw him for who he really was and all these feelings id repressed came to the surface and i realized that i love him,1
366,i love to feel useful,0
367,i feel kind of apprehensive to pledge my life serve a nation and that im not super proud to be part of,1
368,i know words only have as much power that you give them but the messenger of such words can be just as influential on how it makes you feel he said that it was a term of endearment but all i felt was dismay and quite frankly i got pissed off,1
369,i figure making contact with her in a mature fashion will make her feel like an ass for being so randomly bitchy,1
370,i began to feel eager to leave i felt uncomfortable like an elevator at rush hour,0
371,i couldnt help feeling slightly sympathetic towards her,0
372,im feeling frightened and i dont know how to handle this,1
373,i am not feeling sociable and just want to stay and home and watch the tennis finals on my couch,0
374,i feel like a lame piece of poop,1
375,i expect to beaten down to give until i feel as if i can give no more to love without being loved always to continually pray to feel pain for my children and because of my children,0
376,i don t feel insecure,1
377,im feeling very proud,0
378,i feel physically and emotionally exhausted,1
379,i feel more like i m in chicago or ann arbor than kyrgyzstan but it s been so wonderful to relax to see new places and spend time with other volunteers,0
380,too many people in tv room,1
381,i occasionally slip into one of my usual stews of frustration all fueled by attachments non acceptance and most of all ego of course the banes of serenity in this human body but usually i feel satisfied and alive,0
382,i got a weird feeling in my tummy and was instantly scared because i had never heard of anything like this,1
383,i think that s something that could be worked on the school saying you re a trojan even though you ll be joining us in january it does feel a little bit awkward because you don t feel like an official member yet,1
384,i had broken up with mike such as we were because i just didn t feel romantic about him,0
385,i feel inspired to share a class post count link href http atnelsonnest,0
386,im feeling gracious today so carry on before i report you,0
387,i have had so many replies via my blog facebook twitter amp email with lots of different ideas and suggestions that i feel confident that we can find a solution that will work for us,0
388,im feeling pretty confuse these pas few days,0
389,i feel so tortured myself,1
390,i mean i feel like i lead a relatively boring life and prefer it that way,1
391,i left the concert hall feeling really contented and blissful really,0
392,i feel lucky to have so many nice people in our lives to share the city with,0
393,i feel the frantic need to run around like a giant chicken without a head,1
394,i love having that feel of my stomach hurting every time i see that person i really like i love cuddling and kissing all day and just seeing them smile while therere saying sweet things to me to make me feel great about myself,0
395,i am feeling naughty today,0
396,i love reading books about how best to educate kids in part because i care very strongly about the issue and in part because i like to feel inadequate,1
