,Sentences,Negativity
264,ahhh i finally don't have to keep guy happy i get waited on tonite,0
265,i wanna talk with you right now,1
266,i miss trevor more now that he's over sea tough being in love with an airman,1
267,sometimes,0
268,hey how are you i thought you'd like some maestro know tour edition enjoy,0
269,morning and me amp you don't do anything but tweet,0
270,i wish i'd been at the game,1
271,u shud watch it i almost cried,1
272,ok i got you,0
273,more storm,0
274,and prince erotic city feat shelia e,0
275,welcs and i'm happy you will have a new profile picture,0
276,yeh bad time,1
277,yes i did get the reply i didn't know there wa one either but i thought i'd ask give you something to do on the weekend,0
278,yea man that's when bad boy actually had talented artist,1
279,at the airport hungry,1
280,thanks my little sparrow,0
281,happy birthday,0
282,making a pirate club,0
283,it's my b'day day yr old,1
284,oh sorry i didn't see this tweet further down sorry unhappy dd champers me looking hair dye in back of cupboard,0
285,i mention it in the blog post it's in vancouver,0
286,i am soooo happy,0
287,this is a great conversation what else might you do with your sheet during the act of love eh eh,0
288,feeling like an old lady suffering lower back pain uhggggg i guess it's pj's amp pillow time for me,1
289,life and it web it weave glad we're brought closer during the simplest of thing fam,0
290,had a lovely birthday,0
291,ew,1
292,cool have a super day,0
293,always a pleasure mark,0
294,it wa beautiful once,1
295,lt cluster emoting gt thanks for humoring me,0
296,this is going to be the week from hell i have so so so much to do,1
297,i want to see picture,1
298,off to sleep good night world hope it'll not rain tomorrow,0
299,going to physical therapy and then study biology yay i wanted to see today pr ximo stand up eu vou prometo,1
300,thanks for the follow friday,0
301,come cuddle with me i'm allll alone lmao,1
302,helloooo everyone,0
303,blah i should be asleep for today's am rehearsal but i don't want too gt lt hehe i'm not sleepy and i don't want to wake up early,1
304,i wish i wa a celeb like you miley cyrus selena gomez taylor swift and all those pretty girl out there,0
305,why arent you at the mtv movie award i wa looking forward to see you n tv,1
306,drinking break alc free weizen is out,1
307,and the reason are never wrong my dear they are absolutely lovely wow,0
308,ok this lil tweeter is pooped i'm going to dream that fairy come and clean my house thanks for ur time and tweet gnight,0
309,go to bed,0
310,working all day of what a day at least i have thanksgiving leftover for lunch,0
311,you have many friend here who will walk with you through the dark and the light smile,0
312,i wa just thinking we need some sort of logo like the coriandr rabbit on a train,0
313,oh my god my laptop ha a crack all my fault,1
314,you speak my name in chat please i am a big fan your follow me,0
315,cleaning laundry,0
316,have you asked your mother about my sleeepover thing,0
317,that wa a very entertaining few minute spent reading that i recorded the today show a soon a i heard you were on it,0
318,me neither,1
319,is downloading downloading downloading,0
320,oh em gee my dad ha been caught smoking he quit month ago and ha suddenly started again tut tut i'm so disappointed right now,1
321,ugh la fitness closed at pm i drove there for no reason grrr,1
322,i love the song untouchet,0
323,blackberry trouble all over fortunately enough i don't have one my htc touch work fine for almost year,0
324,how do you know how much your twitter profile is worth haha or wa that a joke,0
325,i knew it from the start it's a two year old t shirt by now always make me pleased to see though,0
326,mosquito not yet but they'll arrive soon,1
327,dude where is my car,0
328,i forgot my homework,1
329,i love these but i am broke,1
330,aren't you sweet,0
331,i can't get that horrible dream i had last night of simbacat out of my head it unnerving me,1
332,oi follow he's funny nice bloke amp a bloody good mashup producer,0
333,hey hannah here training so far ha consisted of two gym session need to buy a bike of km in minute km on day little worried,1
334,no dice the coach made a big mistake not picking jacob,1
335,urgh so frustrated tomorrow is the start of school so not excited at all,1
336,a lil thanks lt,0
337,sound like your dillo day wa epic just wait until next year when i'm back,0
338,is fine by me the longer i'm out of this house the better tbh,0
339,i don't like hearing the bird it an indicator that i should be asleep but i can't,1
340,during this stanley cup match up yes i am a pen fan,0
341,being bored and sitting on the computer,0
342,damn it's already sunday,1
343,welcome home glad you had a fabbo time,0
344,oh and yes the audio is royalty free,0
345,i have more in the house but none with me i could really go a nap or a cup of coffee either one,1
346,my blog is crashing my browser,1
347,i fucking agree i hate that shit almost a much a i hate o o and and xd,0
348,you're making me jealous i don't have mine yett it better come todayy ughh,1
349,well it's time to go back and study i hate studying for exam well wish me luck gonna tweet on my next break love ya all lt,1
350,morning tweeple hope you all have a great monday,0
351,hello girl wanna be friend please xoxo,0
352,omg o ahahaa oh well thats common there hihii,0
353,no rafa at wimbledon check it out man oh man,1
354,smmfh mad at tmobile right now qot ma stoopid web quard up kan t even add ma twin on twitter,1
355,trying to keep hope alive for the cavs,1
356,haha is he really he is a hottie and funny fjdska f fly with me videoo so im not making dress anymore for hte show,1
357,new iphone firmware rock waiting on mm from at amp t at amp tfail,1
358,musicmonday king blue my bolder,0
359,awe i'll talk to him if you want,1
360,well at least you had a great time and thats what's important,0
361,yeah they were supposed to but the writer didn't want that in the first season good i can only handle girl having him,1
362,me too a ton of j to deal with today and it's not even pre written i have to write it,1
363,it not fair you mostly reply to jack only love you though,0
364,day of the quot fun amp friendly quot bohol adventure with jam daph amp kuya gunns is about to end best vacation by far next year uli,0
365,just a little shake earthquake back to editing via,0
366,oh that's just sad my direct message thing won't send demi my message hope it'll work soon lol,1
367,figuring out how to live a life where i'm my own bos fun,0
368,ya didn't fail me dear and there are good people out there i know a lot of them,0
369,omg i wish i wa at aaron kwok's concert,1
370,some animal attacked the duck nest all the egg were destroyed sad,1
371,eating lunch right about know,0
372,i have already watch that video lol,0
373,we have one it is out of stock,1
374,cant wait to see denise and janet,0
375,last picture of the countdown before i had to erase it,1
376,i made update today my record xd talk to you tomorrow bye,0
377,the movie the knowing made me afraid to be alone in my room why am i five again ahh,1
378,belanja kaos itu gampang www kaoskita com t shirt shopping just a few click away,0
379,wonder if he is ready to love again,1
380,watching the jon ross show,0
381,amp no being locked out taking place today then,0
382,ive broken my bloody leg hit a curb in tenby on holiday and am in total agony watching bgt at the moment i really enjoyed shaheed,1
383,how do u play,1
384,hi tweeps now following exploring the connection between astronomy and the internet,0
385,thanks yea i've known her since she wa like great kid like another niece to me,0
386,work soon,1
387,really wishin i wa in cali for taco shop in san diego yum and for the jay z eminem show in la sighh,1
388,getting the donut off the ride today laughed so hard w breezy last nite during wipeout think i pulled somethin need help desk peep,1
389,feel sad only one person can make her feel better xxx,1
390,morning all up and at the washing machine already going to mum and dad house to get the house ready for wedding day busy busy busy,0
391,im sad i wont be able to partake in all the late night drunkness that is bound to happen this weekend,1
392,finally convinced him to go see some peach tomorrow night but it's sold out,1
393,feel sick i hope i dont have some type of swine flu,1
394,lazyness on a sunday oh yeah see y'all l r,0
395,it official steph penny can sing nicely,0
396,i will try to remember to twitter from the george strait concert,0
397,going to take some photo and ride my whole new bike,0
398,back at work,1
399,hai anyone wanna hang,0
400,headd acheee,1
401,i have got to bid ou all goodnight tweeps need to spend more qtwith the miniscule before he leaf for the week,0
402,i just mailed my application,0
403,i'm feeling soooo much better yes ahhh bored though waitin for the boo to text me,1
404,my step employment at the va count for nothing in their system i'm not status'd,1
405,i can't believe this is all part of my detox it is because i wa so fine and now i'm talking all core wound oh my god jesus help me,0
406,awww i hope you feel better love this weather is crazy,1
407,is trying to study for exam but my eye keep dosing off imma fail,1
408,hey wassup,0
409,is wishing she had enough money to travel with her best friend in europe,1
410,jesus god no it wa awwwfulllll,1
411,his manbits are ahem swollen they think it's fluid not a big deal but may mean that he need surgery to correct it,1
412,lol i'm in your favourite time,0
413,have a safe trip desti and have lot of fun hope you can tweet u a lot and give kiss from u,0
414,great view,0
415,mmm taco doritos heaven in my mouth,0
416,yo word lmao smh i got a few,1
417,mtv movie award yesterday congrats robert kristen miley and the twilight's maker lt,0
418,can you believe that only a week ago today we were blagging that boat party good time,1
419,kg official mrsstudmuffin aww thank you u rock too xo,0
420,hahaha it washed all the sick off of me,0
421,you can't break stand in a bmw oops learned that the haed way,1
422,for all you wah type bbc is showing tron it just started am go and sky it for later to educate the kid,0
423,your welcome thank you for tweeting me back oh wait you didn't,1
424,guess i can't ask you to help me find blue contact then,1
425,we missed you,0
426,crazy girl,0
427,so sad that i lost my engagement ring,1
428,work wa fun my foot from wearing heel tho work tomorrow dental office gnite world,0
429,that doe sound like a great surprise i'm sorry i missed it,1
430,good morning to you too,0
431,my lip are dry chapstick chapstick lookin for my chapsick where is it,1
432,good morning sunday i'm drinking green tea and working on some new illustration packaging order,0
433,thanks down thirstily but i'm still thirsty in real life,1
434,my last client of the day is late and looking like a no show i think he forgot about me,1
435,good morning and thanks for the retweet,0
436,last night i saw you wearing a black jas it make me wanna hug and kiss you i miss you so damn,0
437,thanks for gettin back at me on the bbm,1
438,wtf is a table flip still don't know,1
439,muri kung fu david carradine so sad,1
440,got to talk to my dad but now i have to get prepared for tonight,1
441,i miss my godson,1
442,i'm on myspace but i can't see the pic,1
443,i love you miley,0
444,rainy sunday,1
445,even though she sound like alex lt whatevs,0
446,need cuddling now,1
447,left me in the cold,1
448,soo i am out of the closet xd time for that lovely bathroom,1
449,love my chi omega,0
450,i miss those old day when i wa still majorly obsessed with disney channel i obviously don't like it a much anymore now,1
451,every part of my body ache i'm tryin' so hard not to throw up,1
452,new new new,0
453,missing my dad x,1
454,respect who beg differ stuck in your box make me gay im good your and y u cant tell me fuckin twitter let move forward,1
455,oh man i wish shatner wa in star trek but hey nimoy wa there check out the full movie,0
456,weed later mayor mayor please be your old self once again,1
457,really a depressing day especially when it's my lunch kaki who's leaving,1
458,aww atleast your going though,1
459,just set up appt for demonica vet,1
460,i am thanks i'll put you in mine,0
461,checking in good morning twitter fam i'm in miami up bright and early ready to hit the gym xo,0
462,actually barney the dinosaur used to use that word stupendous i had a talking barney book when i wa little lol,0
463,ha the run,1
464,ha to go bye,0
465,taking a bath and then go to the chruch,0
466,kenny wallace said they had rear break problem all night and they locked up didn't get hit no espn followup nascar,1
467,did you get your yabbies and your yobbo mixed up or something,0
468,happy curse kommt im juli nach m nster city,0
469,amazing eye i luv blue eye suck that i have dark brown eye,1
470,lol we are feeling the s already here in south lousiana and a friend from fl feeling and a c broke,1
471,that is really sad we should watch his ep of seaquest when i get off,1
472,aaah sorry you know i love you really hee hee,0
473,for every kiss you give me i'll give you three,0
474,i'd buy him but i also would like for many other thing,1
475,it wa an amazing shopping trip no sexy vampire though haha,1
476,i am sad to hear that you are a really good friend riley,1
477,got up bout hour ago waiting for skool nd watching gmtv fun fun fun,1
478,you know what's funny about amp the facebook page canadian one in any case is categorized under pharmaceutical,0
479,road test booked i r scared,1
480,i got a car no no my car died on good friday i've need my own car ever since,1
481,another weekend wasted headache internet and party in evening,1
482,heyy thanks for following x,0
483,omg sweety how did he dronw im so sorry thats just horrible,1
484,yes here thanks for the change obama i have to start mail ordering again,1
485,icytower combo rekord,0
486,noooo hannah and warren just died,1
487,yaaawn lazy saturday,0
488,anyone see the beejive update i no see it,1
489,thanks i started sniffling like crazy at the gym today boohoo but lot of vitamin c should do the trick,1
490,is my gf who tweet my high phrase,1
491,dude thats sad it the best footy all year go qld p,1
492,oh that make me kind of sad see,1
493,about to hang out with sadey,0
494,aw disappointment here i am read and it smacked me in the face the girl just had to say the word the book is still good though,1
495,the kitchen's moving,0
496,it here now the wait to download iphone,1
497,lmao i'm so embarrassed,1
498,i want my kiddo already,1
499,sorry new follower twitter is not letting me follow you back,1
500,last day of college on monday total gutted btw don't want it to end x,1
501,i wanna use my swimsuit,1
502,the whole word is mixing,0
503,morning have a good day,0
504,not a good season so far for him is it,1
505,i'm quite bothered that his hoodie now smell like me,1
506,dang ive only used around today so im good,0
507,doe it make me a giant year old to be excited about the new jonas brother cd out today,0
508,that's the other solution but it then stop genuine people from following you spontaneously based on your tweet,0
509,the land of reply is indeed a labourius place at least you know you're loved xo,0
510,awww i know i felt so bad but he wa so sweet and cuddly after lt,1
511,yeh thats a recurring suggestion lol but i wanna play,1
512,having no such luck finding a new wallet,1
513,i requested you,0
514,the sun is shining the fog ha gone look like a lovely day,0
515,there were like four guy that just got like arristed at the park yeekk,1
516,finally getting started on homework boo school where did the weekend go,1
517,feel like i am going pas out from exhaustion honest my head is spinning poor me,1
518,quigley my dog just peed on the floor tsk tsk tsk he got hyper and then peed he obviously ain't potty trained lol,0
519,sunny morning,0
520,waiting for my dad to pick me up we're gonna watch a movie btw new photo soon,0
521,i don't know if i can do it i'll just have to pray to god haha i sound so religious right now,1
522,we appreciate the unscheduled coverage keep it up and give the crew a raise,0
523,right on just bought this new computer will be mig easier to get code done,0
524,oh mah goodness i hope you feel better,1
525,woot i have point on my subway card point is a free foot long going to get it now,0
526,it take a big man to type a sad tweet like that,0
527,not yet,1
528,my tummy hurt so bad right now,1
529,they never said anything interesting and i always had to wade through dozen of their tweet to get to people i cared about,0
530,back to the daily grind working with other people old code is terrible,1
531,blimey u should've given me a bell,0
532,hey you are up early,0
533,i'm writing more fanfic,0
534,shout out to the koblers a sure a the dawn here we go thanks again,0
535,i forgot my jacket at the barbary last night i suck,1
536,have you seen wolverine might want to change that pic there's a new sheriff in town,0
537,fever again take googletalk mobile with fring www fring com googletalk,1
538,well sweetie i am tired from the travelling today gonna head to bed sleep well sweet dream and safe tweet,0
539,u look freakin amazing pity gretel got you in the toilet shot,0
540,still very sick if i wouldn't have prepare a presentation tuesday then i'd have stayed in bed cant concentrate at all,1
541,just b'n extremely board my friend is com'n over in like minute amp she's gonna spend the night,0
542,im like really bored staring at my arm the autograph are on my hand are kinda fading away but the arm part r still der,0
543,it's sooo cozy noooo,1
544,eating a sandwich amp drinking pop d dude i missed hannah montana mileycyrus,1
545,afternoon gorgeous aah it's all good in the hood how's thing for you x,0
546,will you ever come to ohio,0
547,wow your cooool lalalala this is not aislinn xx,0
548,listening ngampilan replacer quot serangan sore quot,0
549,talk to nicloas esp when he's drunk and he'll explain some of those theory to you good luck understanding it though,0
550,really from that coffee,1
551,people i need food poisoning remedy asap please my man isn't well at all,1
552,is jesus christ also tweeting i wonder,0
553,don't forget to watch too,0
554,omg nausea city me and heat do not go together well my bed room is,1
555,i love you lt and miss you and already,1
556,happy birthday to my little si abi celebrating with my family sister is now nine so crazy got her a taylor swift poster,0
557,finally won a game of settler of catan also booked restaurant for birthday dinner life is good,0
558,i need a double boiler,1
559,get follower a day using www tweeterfollow com once you add everyone you are on the train or pay vip,0
560,awww we might not go swimming it look like it going storm it getting darker and darker grrr,1
561,yes i know mike filsaime why do you ask,0
562,why can't i make a phone call i hate this anxiety crap someone cure me,1
563,i hate that quot big one quot shit,1
564,what's up you rock,0
565,hiiii you are a twitter loser now,0
566,today wa just splendid,0
567,no bilky ray yet marshawn,1
